Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
BENZNIDAZOLE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
NORETHINDRONE,0.7461830450603767,0.7628624977088094,0.0007219054455299381,0.07001715881173388,0.6884836266102826,0.00011306643778584919,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.16201157523696266,0.39052827626217657,0.031002463960062288,1.5484511648622988e-06,4.5299910090684266e-05,0.08494395210292395,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.0003036983069402427
VASCULAR ENDOTHELIAL GROWTH FACTOR,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.1641431324870464,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.30323679300437995,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,2.4712706945883154e-23,0.7481334033078506,0.7452127716961101,0.7397126246788673
CHLORMERODRIN,0.7545998678746286,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7389150453098555,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7488093948376223,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7566552440443449,0.7397126246788673
DIVALPROEX SODIUM,0.8330677785861834,0.7628624977088094,0.7562951928458069,0.7316619424867631,0.6884836266102826,0.7607402943186596,0.7094038932270443,0.8043635780504025,0.7662629932779926,0.744715213543653,0.7181880360665317,0.7489238018154454,0.7785317164221821,0.7515687402797053,0.726459332904291,0.751760262856257,0.7494791195453956,0.7481334033078506,0.7452127716961101,0.7397126246788673
SODIUM VALPROATE,0.7574247429054322,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7452790800707458,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7566552440443449,0.7397126246788673
1-(4-HYDROXYPHENYL)PROP-2-EN-1-ONE,0.8330677785861834,0.7628624977088094,0.7562951928458069,0.7316619424867631,0.6884836266102826,0.7607402943186596,0.7094038932270443,0.8043635780504025,0.7662629932779926,0.744715213543653,0.7181880360665317,0.7489238018154454,0.7785317164221821,0.7515687402797053,0.726459332904291,0.751760262856257,0.7494791195453956,0.7481334033078506,0.7452127716961101,0.7397126246788673
2-UNDECANONE,0.7461830450603767,0.7628624977088094,0.7500294235245168,0.7316619424867631,0.6890456738209034,0.7385134669658022,0.7043096474587744,0.7486011217691702,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.736218158704517,0.736481203845608,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7531834801088387,0.7397126246788673
EPOETIN ALFA,0.7461830450603767,0.762832681612699,0.7469713544797733,0.7316619424867631,1.0233359818474596e-26,0.7377610814877665,0.011506138850631894,0.7388436367846846,0.016865199081554757,0.744715213543653,9.311105560993779e-07,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.45639678623059005,0.11857817052193895
(R)-BACLOFEN,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.0028377786775463064,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.186113555369394,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
