Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
GNF,4.9421619844676834e-05,4.8883404313118846e-05,4.771328843386814e-05,4.425656934071779e-05,5.198424032883477e-05,4.582738749506453e-05,4.697527216757464e-05,4.331420256987859e-05,4.7641053233432846e-05,4.427102441569378e-05,5.598837117852423e-05,4.868094338131407e-05,4.3705730104698076e-05,4.457634000408276e-05,4.433069751168533e-05,4.6534477708330465e-05,5.803125904545098e-05
TCS JNK 5A,3.894692815159523e-05,4.3771754457926415e-05,3.6192407563394277e-05,4.0542776029246505e-05,3.689283662465124e-05,4.624613590692797e-05,4.169960119382643e-05,3.645140722961647e-05,4.003340055064497e-05,4.1886628296128203e-05,4.041643907276457e-05,4.670574285945645e-05,5.29256687818375e-05,4.3844624664143324e-05,3.6645507479013916e-05,4.2646431824066574e-05,3.658644929064677e-05
FLAVIN ADENINE DINUCLEOTIDE,5.126254862663248e-05,4.92950352687011e-05,5.190939403416366e-05,5.24345337263843e-05,5.175197979642646e-05,5.1933065928915355e-05,5.237628369480795e-05,4.778951398270868e-05,5.15709091309304e-05,5.275744300740443e-05,5.627367991196707e-05,5.5109789630438724e-05,4.917111746653772e-05,5.0978207493213684e-05,5.264817079170586e-05,4.9356959640363376e-05,4.971340747835832e-05
29623-28-7,8.36732665735218e-05,5.82637134818556e-05,8.22663094977435e-05,8.521913662917646e-05,6.835330957821551e-05,7.182395699750959e-05,7.227739503337949e-05,7.814816696703704e-05,6.231428098586397e-05,5.5643927313799596e-05,8.157519531352426e-05,7.581763496721043e-05,5.156695580005374e-05,5.4506971894083085e-05,7.438780948002765e-05,4.848887235851776e-05,7.306075380502473e-05
PF-562271,9.09897284616214e-05,8.883948924488954e-05,8.566283378133675e-05,6.894236248553001e-05,6.463002573822676e-05,9.777210485209638e-05,0.00010176474416268683,0.0001107446906930381,8.50507461126451e-05,8.286622112194159e-05,9.248961592782625e-05,9.96226375075193e-05,8.803756023146369e-05,9.29771895759738e-05,7.474241132712934e-05,8.46389868184509e-05,9.976319529115106e-05
FARNESYL DIPHOSPHATE,5.5260486818757536e-05,5.178902463755313e-05,4.757040479580268e-05,4.7433904603312184e-05,4.540867679711675e-05,4.543048279181638e-05,5.207428363630622e-05,5.520583573532893e-05,5.2315768581307135e-05,5.5252545058401285e-05,5.160880817688424e-05,4.8021871632054355e-05,5.027376415464806e-05,4.950217261005594e-05,4.9462088069795856e-05,5.374654674956807e-05,5.3198474257853436e-05
COMPOUND 10B,0.0005240341524149493,0.0007779200103465842,0.0008663300002247943,0.00111798561958581,0.0017047685096696218,0.0013153865954842747,0.0009660868180396048,0.002025919816012644,0.0009348878920254762,0.0010270962393343897,0.0011839699697172355,0.0010192990826321372,0.0014843612891156993,0.0009843318239143844,0.0009785862717263413,0.0004328201208018661,0.00159148137216602
URSODEOXYCHOLIC ACID,0.0009933795881118437,0.0014773562065702613,0.002310260073784206,0.002124245994025219,0.0032407031578870348,0.002499752822203835,0.001833542288945685,0.0038513380914208693,0.0017761234024991056,0.0014006999817772034,0.0022497478959292447,0.0019368555188014837,0.002821103712897236,0.0018698905483446558,0.0018591976225298616,0.0008196800883699583,0.003025169428344724
3-ISOBUTYL-1-METHYLXANTHINE,4.2916254626457635e-05,4.528798954405528e-05,4.6661004440682976e-05,4.620008980837003e-05,4.584645912813306e-05,4.733941397211845e-05,4.26178494271553e-05,4.342334904386092e-05,4.483032803994936e-05,4.217534244706184e-05,4.854675163090447e-05,4.350294755323365e-05,4.317699626560789e-05,4.561099779783655e-05,4.580029007524063e-05,4.3910663671436544e-05,4.6428766570289765e-05
KETOTIFEN,4.926524815813724e-05,5.46444714756131e-05,5.555427085201069e-05,5.312943279554145e-05,5.672591980550896e-05,4.6993194983772606e-05,5.01274650640005e-05,4.6556429315775393e-05,5.207022866880633e-05,5.695255012462836e-05,5.286069756179806e-05,5.1722998497415274e-05,4.6826645607197716e-05,6.754929882039803e-05,5.261209970799957e-05,4.9606098014588286e-05,5.4586551196311e-05
