Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
AC-265347,4.3381087118156605e-05,3.920571603503703e-05,4.006659575132609e-05,3.6670761763901334e-05,3.8106871785180684e-05,3.6603607274801925e-05,3.532125524081543e-05,3.766726717091462e-05,4.304081428228142e-05,4.665840853106539e-05,3.675930325281257e-05,3.557054885541705e-05,3.678688141052447e-05,4.158173123997262e-05,4.6518477086149765e-05,3.5612148239884917e-05,3.697536366911319e-05
CILOMILAST,3.847960627925743e-05,3.9279040350948746e-05,4.5099109167554265e-05,3.5573898963626724e-05,3.5600413990924845e-05,3.5044758939006846e-05,3.933325029720118e-05,3.504192042797879e-05,3.774814278000607e-05,3.583955411250245e-05,3.87542036114202e-05,4.159146441723339e-05,3.7378481066475006e-05,4.084149340872312e-05,3.7928187210307125e-05,4.1593537114375105e-05,3.734185465468752e-05
D-AMPHETAMINE,4.069041078645383e-05,4.113510173319165e-05,3.97039612932662e-05,3.9299591249223894e-05,4.0591346930189205e-05,4.528370257110907e-05,4.003023393810467e-05,4.255253852705408e-05,4.036657060527542e-05,4.219700540140733e-05,3.6656111224793396e-05,4.159497083448131e-05,4.003233098961005e-05,4.1582787954894044e-05,4.38236712058339e-05,4.3308195960345145e-05,4.169905742016362e-05
UNII-6PJC3KPK6S,2.9607699946905977e-05,2.975275459162523e-05,3.5358868722694254e-05,2.993298398196688e-05,2.965308310101716e-05,2.955573229649223e-05,3.423559871269257e-05,2.9451683985443506e-05,3.0026075925775927e-05,3.3308442292854644e-05,2.9588963370615515e-05,3.781859734557189e-05,2.9694955438549367e-05,3.0279190247002186e-05,3.6828514564433205e-05,3.3274953256455075e-05,2.9355491104321227e-05
GW 9578,6.0113981714935986e-05,4.870026395578956e-05,5.951701550897041e-05,6.420621070285306e-05,5.53686700793228e-05,5.5114653363010736e-05,5.587537701524301e-05,6.470766587259239e-05,5.5470230493825194e-05,5.3923165611368794e-05,5.851661860540985e-05,5.6036837053036676e-05,4.4867784058711866e-05,5.1201959000257495e-05,5.492559168530577e-05,4.711553817200797e-05,5.371138904411065e-05
VERAPAMIL,4.622879637414366e-05,4.6812579683966835e-05,4.723619655104935e-05,4.795117142391791e-05,4.767363834961283e-05,4.5866083060618073e-05,4.567482321209107e-05,4.6695405309642097e-05,4.6385578152195454e-05,4.512040469750223e-05,4.490898631504938e-05,4.424400754890196e-05,4.502470072845241e-05,4.5346961772774786e-05,4.7809804939378446e-05,4.7908809773656356e-05,4.8887880727066446e-05
BIZELESIN,0.00010727137370213334,0.00011459410703457312,0.00011289120948884092,0.00012059547677381694,0.00010959956840546596,6.506390419572971e-05,0.00010894112455632452,9.324088432837731e-05,9.44290220917088e-05,9.011739546429822e-05,7.932762041939519e-05,9.351045398525868e-05,7.977640328266982e-05,9.262404606418956e-05,9.807123131291254e-05,0.00012800644528649012,0.00012669297405658292
17-EPIESTRIOL,4.547432228222518e-05,5.307810941287821e-05,4.946201432262156e-05,3.753869281901754e-05,3.788249374210634e-05,4.3854855248956525e-05,5.0556174226348126e-05,7.59012681021456e-05,4.844628257285784e-05,3.820809925515138e-05,6.0072830545344796e-05,4.286901231089331e-05,4.325403384052239e-05,4.528806385947021e-05,4.5859711032276456e-05,4.869537075109366e-05,5.2974108041507874e-05
CHEMBL1098060,4.84322925504204e-05,4.379396137411264e-05,3.574358657665894e-05,4.051763200172885e-05,6.01924905595512e-05,3.750597144992858e-05,4.239037961287362e-05,3.464864486184265e-05,3.518620913170146e-05,4.068895068823404e-05,4.2629654272692314e-05,4.1523696661658844e-05,3.874527671955506e-05,4.722428343820599e-05,5.042519750748585e-05,4.324953648822093e-05,4.103527434006676e-05
CHEMBL398428,4.5516737948298635e-05,3.949630826582677e-05,3.927314180441267e-05,4.0521940077218293e-05,4.144139683557003e-05,4.829635769018677e-05,4.830835267494897e-05,4.166723007327266e-05,3.979691858704946e-05,4.3731784024329324e-05,3.953596240308397e-05,4.800509588186226e-05,5.350479710874273e-05,4.906525728817299e-05,5.108409281275485e-05,4.154604179381873e-05,4.081951773525804e-05
4BH,3.034462683413529e-05,3.0839794924498074e-05,3.473859836697171e-05,3.583290908137488e-05,3.845576073244827e-05,3.033831520387503e-05,3.041743978968692e-05,3.0094382813803735e-05,3.04207197727627e-05,3.873248921805749e-05,3.0306591862002294e-05,4.013733117689286e-05,3.1022067480505445e-05,3.825951048977441e-05,3.556881257013424e-05,3.8050580723206674e-05,2.9907838470898137e-05
PIMASERTIB,0.002340999310578492,0.0035155454515007605,0.0034014617903253067,0.005688714416671829,0.0054933569233537845,0.006679945608527791,0.0022030249913128743,0.0065118821908113165,0.004739327467568202,0.003297736347792427,0.006547069241651282,0.004007425569091768,0.005854045318906153,0.005424733229241208,0.0038336569965610806,0.0019187312508423355,0.006256828613632424
AURORA KINASE INHIBITOR II,0.002016135871841408,0.0030171777856882044,0.003369679922329575,0.004423128240420827,6.192698390754412e-05,6.764510286849961e-05,7.181850157011492e-05,6.819999395004713e-05,7.47058873277127e-05,0.002852566290419434,0.004609774315047892,7.125306372763641e-05,7.928667267156951e-05,0.0038274085097017357,0.003813370698735459,0.0016483507687305792,0.006224414397784967
DOLICHYL PHOSPHATE,4.632280154056034e-05,4.0407022269579696e-05,3.818420354405492e-05,3.069925261097961e-05,2.952697167072476e-05,3.183720772848391e-05,4.034169086166736e-05,5.6852436793452845e-05,4.1196470670823615e-05,5.725386249854855e-05,4.304802324264245e-05,3.292729261598925e-05,4.258319793419771e-05,4.5364904218370536e-05,4.25996742843742e-05,3.4612160918234955e-05,3.305004463314146e-05
CHEMBL71654,3.7707895076342265e-05,3.8079892746342975e-05,3.7682107171835536e-05,3.832622103390624e-05,3.799717251145176e-05,3.7649682429948256e-05,4.503429271450631e-05,3.7880153767439004e-05,3.7975964908230575e-05,3.791702311837912e-05,3.7408027692622824e-05,3.7708772696884666e-05,3.853223430691455e-05,4.581806862356862e-05,3.802799965332328e-05,3.772094094322108e-05,3.746221264285781e-05
(2Z)-N-(3-CHLORO-2'-METHOXYBIPHENYL-4-YL)-2-CYANO-3-HYDROXYBUT-2-ENAMIDE,6.973917714714933e-05,7.525534024244466e-05,6.9079274524343e-05,6.126974962540423e-05,4.735578787754962e-05,6.443531679095706e-05,8.146386246843531e-05,6.585756582825837e-05,7.294658084695788e-05,7.146451036865976e-05,7.814794007699362e-05,7.350463332058953e-05,6.7321275849653e-05,9.028712361551036e-05,7.365588321518518e-05,6.165923501573425e-05,7.9449703714123e-05
PD-170292,3.718135859562692e-05,3.562050719320486e-05,3.837977909046573e-05,4.634215450392407e-05,3.6156704700172325e-05,3.6119582795302954e-05,3.7737441757663044e-05,4.361318575467108e-05,3.574053929787436e-05,3.901188361242617e-05,3.55411032491482e-05,3.8885668274177374e-05,3.588241984551775e-05,4.173584569824974e-05,4.213819242493324e-05,3.965827250303102e-05,3.577885687235721e-05
FLUPREDNISOLONE,3.8745823335163796e-05,4.483836850975371e-05,4.7198160782411186e-05,3.910941769953469e-05,3.914236007880996e-05,3.926988146517653e-05,4.567697079438767e-05,5.3952071865074094e-05,5.400250283031533e-05,3.9302646206499515e-05,4.7460395489938504e-05,3.881663595809621e-05,3.9074362547161026e-05,4.469615167036021e-05,4.705588146875415e-05,3.903099052637335e-05,3.902487304832412e-05
CINITAPRIDE,3.766711942555578e-05,3.894672596963236e-05,4.034348810775057e-05,4.7950779745338406e-05,3.39389169863639e-05,3.6629266511775164e-05,3.552960305701764e-05,4.216260143526877e-05,3.845396226862072e-05,4.6361506583860423e-05,3.5959635622824915e-05,3.538174765360939e-05,3.675228062247192e-05,4.5089225744094006e-05,3.5517491550265354e-05,4.40693685960244e-05,3.772795705664328e-05
CHEMBL236994,3.8981576617683016e-05,3.0450369622643292e-05,3.0279779272731812e-05,3.955528008778504e-05,3.0572430147377025e-05,3.0462234485309825e-05,4.459756730914052e-05,2.966914830309817e-05,3.624263831927456e-05,3.641684373866588e-05,3.0045207070532024e-05,5.094298436524544e-05,4.1596682706226315e-05,3.020861577291736e-05,3.7695019740619e-05,3.66713391686058e-05,3.0204900326264385e-05
N-CYCLOHEXYL-N'-DECYLUREA,4.1758310356799405e-05,3.938727659889118e-05,3.382054066281042e-05,3.4121012352685424e-05,3.456967830870445e-05,3.3513869624653256e-05,3.3962595863780685e-05,3.385065647562568e-05,3.395039461837237e-05,3.382290009109848e-05,3.376972810010374e-05,3.438987257201305e-05,4.139859857480032e-05,3.3712929935110245e-05,3.4156859936868434e-05,4.015475967275767e-05,4.67026636410765e-05
"CDK2 INHIBITOR IV, NU6140",6.412932320409322e-05,7.215291667330353e-05,6.230013073767383e-05,5.682341786766132e-05,6.678676866867788e-05,6.955280582661664e-05,6.410594953935772e-05,7.548344377584749e-05,6.548829119911942e-05,6.422685742373308e-05,6.561074570806559e-05,6.501802073208768e-05,6.38352526160273e-05,0.0026908744211153676,6.168598745407373e-05,6.942154793949023e-05,6.898286985577077e-05
TIAPRIDE,4.100382167264667e-05,4.1197539613833853e-05,4.262132639709469e-05,3.939790789426235e-05,4.036441481066289e-05,4.083730023528254e-05,4.2672128133302424e-05,4.061728396365034e-05,4.0411994869419746e-05,4.19084992553759e-05,3.999344982107932e-05,4.235783650583176e-05,4.0076199897924684e-05,4.464529529216045e-05,4.2240093582706494e-05,4.13605476294305e-05,3.964418876754099e-05
PREDNISONE,4.414882354185953e-05,4.374630198736717e-05,4.38337728951311e-05,4.232576287225043e-05,4.3246044118387714e-05,4.403820549429976e-05,4.46264169966379e-05,4.226437188491008e-05,4.47038294281704e-05,4.343319904352876e-05,4.2802749947471e-05,4.3881875008353875e-05,4.5234609168698606e-05,4.3427428900017914e-05,4.593700834085724e-05,4.25569208322392e-05,4.480284765814594e-05
REMOGLIFLOZIN ETABONATE,3.2905452569501085e-05,3.1945724564091275e-05,3.228799783200225e-05,3.2016934560451663e-05,3.303878974537409e-05,3.2253503376712605e-05,3.305114565828064e-05,3.2345357334622364e-05,3.238086508157326e-05,3.2136606701867515e-05,3.170856144463435e-05,3.29308730628763e-05,3.2495129510373305e-05,3.2368123215668075e-05,3.203739924988319e-05,3.6951046094335135e-05,3.197476247136524e-05
"BENZOXAZOLE, 2-(4-NITROPHENYL)-",3.155856192464304e-05,3.151225613989021e-05,3.4771657249999904e-05,3.099227935220827e-05,3.1371717858677776e-05,3.143070520907269e-05,3.75621948422254e-05,3.1343483848438286e-05,3.106565196328496e-05,3.633131167789517e-05,5.803036821223206e-05,3.0993687266764535e-05,3.134127978482634e-05,3.148893666764658e-05,3.1496709514085205e-05,3.8098788339890804e-05,3.140870841467501e-05
NETUPITANT,3.935437618357205e-05,3.3846021439091754e-05,3.795759342615947e-05,3.3813612008199974e-05,4.316310321121506e-05,3.374374529876381e-05,3.8646688706270875e-05,3.399249493460151e-05,3.726672560902855e-05,3.6229234805470845e-05,4.8401489573108784e-05,3.374504168241969e-05,3.404197207573328e-05,3.393045888156728e-05,3.405246834912525e-05,3.931488315402469e-05,3.396230198475453e-05
METOPROLOL SUCCINATE,3.876447556653894e-05,4.661431693608758e-05,4.5521775975593446e-05,4.333759082242288e-05,4.5467387490974403e-05,4.571602621894477e-05,4.804670733650552e-05,4.5095277899067115e-05,5.093272177601442e-05,4.0044252831250115e-05,3.8708627096965185e-05,4.0679484927993995e-05,3.912967597066535e-05,3.9377028363101824e-05,4.2128896408247605e-05,3.912623055201215e-05,4.185179761302569e-05
PD 150606,5.825343275514436e-05,5.1927269525029776e-05,5.4993774761196754e-05,6.003094931743346e-05,5.3379128436632754e-05,5.2009801279083425e-05,5.703438969407288e-05,5.092986166589776e-05,6.836484277858342e-05,6.177168736002212e-05,5.1722750198976315e-05,6.549751113614097e-05,6.358224798742129e-05,6.059916612816284e-05,6.140237461301237e-05,6.220988062858568e-05,5.2926175065708425e-05
APRACLONIDINE,4.1266731806560325e-05,4.385094618096016e-05,3.941644889008579e-05,3.974161933287855e-05,3.983204716812622e-05,4.446709552434375e-05,4.1866595465783095e-05,4.5015951301682565e-05,3.999425435009467e-05,4.0845703259786126e-05,4.132281621915989e-05,4.154073293203089e-05,3.9645829084941045e-05,4.3403449037681656e-05,4.329536278120555e-05,4.5131553240406454e-05,4.388176121191389e-05
3FT8,3.034462683413529e-05,3.0839794924498074e-05,3.473859836697171e-05,3.583290908137488e-05,3.845576073244827e-05,3.033831520387503e-05,3.041743978968692e-05,3.0094382813803735e-05,3.04207197727627e-05,3.873248921805749e-05,3.0306591862002294e-05,4.013733117689286e-05,3.1022067480505445e-05,3.825951048977441e-05,3.556881257013424e-05,3.8050580723206674e-05,2.9907838470898137e-05
ADOPRAZINE,3.861053547368865e-05,3.896831025604766e-05,3.775838886796618e-05,3.53382349987168e-05,3.6134294807572e-05,4.101441276952964e-05,3.977472527112535e-05,3.535745353743161e-05,3.506718511833955e-05,3.720195273051666e-05,3.514605012106589e-05,3.932612149178183e-05,4.2053897840154104e-05,4.185230865782382e-05,4.5473745536402514e-05,3.6229357276238306e-05,3.570667807728563e-05
FLECAINIDE,3.745185237784653e-05,3.6480252587004674e-05,3.871452846883052e-05,3.804657286348229e-05,4.177905058753531e-05,3.692060114374443e-05,3.785446026546483e-05,3.9765857560417985e-05,4.275476417267096e-05,4.0093016323544625e-05,3.8775745166941736e-05,3.931772252071198e-05,3.959192559074209e-05,3.768192729556646e-05,3.7930585008174144e-05,3.5981757902272076e-05,3.783221159271434e-05
ADAPALENE,0.0013217691600885234,4.737881308970717e-05,5.303609597342114e-05,4.7830275710400156e-05,4.913890847489063e-05,5.119106806024579e-05,4.606771301164738e-05,4.812491155085457e-05,4.093719046129844e-05,4.355991369406612e-05,4.461946764398858e-05,4.7803322307776886e-05,5.364851677707356e-05,4.7081559510306384e-05,4.499093320412041e-05,4.256806278219939e-05,4.377272123139351e-05
UBIQUINONE-1,8.981215305987993e-05,8.31479727793875e-05,8.987513473799657e-05,6.960580133331308e-05,8.763375591949485e-05,7.718886751257532e-05,9.937442612432451e-05,7.416662151752899e-05,8.232928726121533e-05,9.145328457511413e-05,9.962656349633668e-05,0.00011003674207526035,8.137840594447951e-05,8.902558351210288e-05,8.114764543734052e-05,7.861085135758738e-05,8.327123030021267e-05
UBIQUINONE-2,7.963629296407983e-05,7.541630952177591e-05,9.606911826718063e-05,7.782161437216036e-05,8.60284754004362e-05,7.586732160082855e-05,9.362700594531836e-05,8.194882612598747e-05,7.82467445514412e-05,8.542858300604781e-05,8.084856059510716e-05,8.828466157833579e-05,8.078926292060776e-05,8.129133439156079e-05,7.598784931063886e-05,7.882267203234606e-05,7.937684346383531e-05
ENGLERIN A,3.381996611919382e-05,3.3745049474059855e-05,3.063587700970525e-05,3.432500012047575e-05,3.907246184132252e-05,4.007456111027649e-05,3.377225144858185e-05,3.0414609987527195e-05,4.711556420802334e-05,3.45063512793204e-05,3.067728762381308e-05,3.079307414197791e-05,3.146897113194604e-05,3.397672336534534e-05,3.120181713724855e-05,3.536800289892869e-05,3.045762907440784e-05
ENOXOLONE,4.32345639385964e-05,4.1605515419316465e-05,4.1996309214108205e-05,4.044256822059355e-05,3.928733340202777e-05,5.668933459808075e-05,4.248163220922699e-05,3.703432531861383e-05,4.204993983061848e-05,3.958107229018388e-05,4.495343707223088e-05,4.6852295917879825e-05,5.018130131052847e-05,4.3377140509155094e-05,4.01949526409648e-05,4.291020419897311e-05,5.391599467061762e-05
URSOLIC ACID,0.0003683562169847138,0.0005482438030585926,0.000608444480815324,0.0008007148183662783,5.370581146660776e-05,0.0009351427859251454,0.00048650435157479517,5.605903296159005e-05,0.0006578158887208678,0.0005123562433463593,0.0008372088945348937,0.0007242840190646255,0.0014959081358700184,0.0007004867881679012,5.141874037894053e-05,0.000591373225449971,5.3327716009569566e-05
BPH-830,4.086280424897423e-05,3.906521404410656e-05,4.412390037059898e-05,5.194153813019327e-05,4.123446779560421e-05,5.6384473225615785e-05,4.520798935644701e-05,4.06360137706015e-05,5.845069119133144e-05,5.06182702699868e-05,4.8886974745378663e-05,4.9295231258999094e-05,4.5069823411742326e-05,4.362488078114967e-05,4.300977890830219e-05,4.882385989733975e-05,4.119488625418191e-05
N-(4-PHENYLAMINO-QUINAZOLIN-6-YL)-ACRYLAMIDE,6.194767498052434e-05,5.177414782617988e-05,7.213582294338652e-05,6.502596370720725e-05,4.900175692218326e-05,6.537423857764272e-05,9.176444495142206e-05,5.5000131684851346e-05,5.355789582549639e-05,5.045850695809572e-05,6.023754715280802e-05,8.472320686999038e-05,4.829726373207782e-05,6.114008856822857e-05,7.293761784204183e-05,5.2831017058809256e-05,6.587022368481145e-05
"(2Z)-2-CYANO-N-(2,2'-DICHLOROBIPHENYL-4-YL)-3-HYDROXYBUT-2-ENAMIDE",6.973917714714933e-05,7.525534024244466e-05,6.9079274524343e-05,6.126974962540423e-05,4.735578787754962e-05,6.443531679095706e-05,8.146386246843531e-05,6.585756582825837e-05,7.294658084695788e-05,7.146451036865976e-05,7.814794007699362e-05,7.350463332058953e-05,6.7321275849653e-05,9.028712361551036e-05,7.365588321518518e-05,6.165923501573425e-05,7.9449703714123e-05
COBIMETINIB,0.0017446456164508283,0.0030331698647822337,0.002397359911636549,0.004403082341798009,0.003355146582450365,0.004478977190360858,0.0013347650619014951,0.00396707277839915,0.003168517217378993,0.0024564499283426786,0.004615388791869365,0.00282549508268696,0.004133454683338545,0.004276367865322765,0.0026981825317721185,0.0014270102648020159,0.004410349267600163
SALINOMYCIN,6.299430188280536e-05,4.5705284208618185e-05,7.710977680630909e-05,6.958400859952657e-05,7.563454425498563e-05,7.051824674383765e-05,4.600867716335908e-05,6.61719510491263e-05,4.6651018199091774e-05,5.6483108777226024e-05,6.568187246631367e-05,5.9911664777016946e-05,5.724673756702339e-05,3.775806390057536e-05,4.739678128169371e-05,4.1168357445880637e-05,3.8946232108647226e-05
OXYTOCIN,4.463743283034315e-05,4.4975551383738136e-05,4.700806554903695e-05,4.920436414980396e-05,4.863633502057128e-05,4.460033660116458e-05,4.5788658055536626e-05,4.124650387995091e-05,4.7354816410316136e-05,4.3816137350348924e-05,4.4646994490141115e-05,4.6200685966430913e-05,4.6987745853293334e-05,4.562947331859765e-05,4.638500909037638e-05,4.699345564576592e-05,4.8448667942705846e-05
CANERTINIB DIHYDROCHLORIDE,0.0020445505661137557,0.0030389434424121873,0.0034357398974031723,0.00010903174048471129,0.006771557859985097,0.005154739782783719,9.975501011721406e-05,0.00010193666555054184,0.0036847183932114122,8.017535713765392e-05,0.00463442573451554,0.00011815655597967648,9.758538233359037e-05,6.993181767729911e-05,0.00538933467377636,0.0016638133460365194,9.415512197059886e-05
CIPRALISANT,5.936110252590831e-05,5.5918845037986596e-05,5.363064521447786e-05,5.16334336311372e-05,5.200642363276438e-05,5.166526307430438e-05,6.369614688829591e-05,5.0488928013490525e-05,5.718439310565239e-05,5.883814148927528e-05,5.65862118614195e-05,5.853129811478741e-05,5.1942450068023294e-05,5.181891044606312e-05,5.2065722819285434e-05,5.4812384951118484e-05,6.071506451413387e-05
MRK 016,3.9443276345266374e-05,3.9216670363119065e-05,3.609990606615517e-05,3.839982815694667e-05,4.407931634616568e-05,4.586970234061694e-05,3.904008830260977e-05,4.539840017991289e-05,3.8460568015288126e-05,4.469022315332162e-05,4.536403593390757e-05,4.22767474026925e-05,3.69939023298449e-05,4.4979251898515106e-05,4.6524277089458275e-05,4.028082605992799e-05,3.669234399165178e-05
CUSTIRSEN,3.6268882238980045e-05,3.048807034864493e-05,3.0447520922676195e-05,3.0660099685822146e-05,4.905995808969267e-05,3.057152335474627e-05,3.8270207210564e-05,3.081079797274114e-05,3.078609788307785e-05,3.8359969180376216e-05,4.314386944801869e-05,4.223814847019113e-05,3.1241584452449505e-05,4.138573134221181e-05,4.543457736881176e-05,3.2049774293503504e-05,3.095648739969637e-05
PHENELZINE,4.1385791702416134e-05,4.553267333977219e-05,4.145586199829576e-05,4.0878692157492566e-05,4.318829649522401e-05,4.706887692718617e-05,4.3634564423334415e-05,4.232516154823277e-05,4.864293134223562e-05,4.504603680262608e-05,4.0464014140579133e-05,4.1765208766974e-05,4.512191300047637e-05,4.8804800869798e-05,4.952628788355324e-05,4.682515121204348e-05,4.525900997435886e-05
REPARIXIN,3.547683600381769e-05,3.579010465727832e-05,3.801631351076253e-05,3.609592101904238e-05,3.613855565894597e-05,4.406394241201306e-05,3.725344381578825e-05,4.381172002056144e-05,4.5197507355878204e-05,4.014704715877231e-05,3.839035671631753e-05,3.5477006022313195e-05,4.1391947905251624e-05,4.100273472407813e-05,3.917587109928571e-05,4.074618076872394e-05,3.875545108093091e-05
DEFIBROTIDE,3.800972300222264e-05,4.3253585646713214e-05,3.935556959308016e-05,3.866078851960376e-05,3.693099348571131e-05,4.400955714479006e-05,3.581271680635862e-05,3.702422965651282e-05,3.7217329487717654e-05,4.053435571089346e-05,4.44299577207305e-05,3.770618234099137e-05,4.0196427339452696e-05,3.8141797748564405e-05,3.84635963081197e-05,3.758859373770562e-05,4.2635544628598663e-05
NS6180,5.3653111338732345e-05,6.526530194673802e-05,5.313641809406304e-05,5.50274824099792e-05,6.681609565992816e-05,6.173315990168545e-05,5.7739191889331204e-05,5.3119946858150375e-05,7.796629477940216e-05,5.49073040127705e-05,5.3029776028774454e-05,5.899033048260071e-05,5.39945248977481e-05,5.4677089259378275e-05,5.4130265088601486e-05,7.184058911885091e-05,6.395475824426049e-05
BMS-564929,3.307779836243115e-05,3.774763952122881e-05,3.579168515149045e-05,3.86429945877214e-05,2.9748328103364214e-05,2.9221089958784888e-05,2.9434903277332783e-05,2.864768611948333e-05,2.9798452471162048e-05,3.833693030170545e-05,3.826229903730014e-05,2.9151196278494342e-05,2.981844606476999e-05,3.751704125940333e-05,5.4858944869009364e-05,3.877405152034679e-05,4.9161989077276785e-05
PROPAFENONE,4.033324524187827e-05,3.985692842762323e-05,4.195328643115617e-05,4.0738579584792894e-05,4.35746553410551e-05,4.139999714600142e-05,3.784835549523079e-05,3.6149443965261726e-05,4.231741792673987e-05,4.2671948929425596e-05,4.0969503612706517e-05,4.121775312182377e-05,3.927976057041527e-05,4.0724846254012244e-05,3.999137899903459e-05,3.8743298110900845e-05,4.231201511640236e-05
GSK4112,3.512193868861719e-05,3.8909485304746364e-05,3.554968246179764e-05,3.5622391003263416e-05,3.640863822990501e-05,3.4982251455076994e-05,3.871788271850207e-05,4.861923938289112e-05,3.5307514831321305e-05,4.008550229622013e-05,3.4780073536064894e-05,4.017203571175265e-05,3.5297675785962655e-05,3.5573439142521615e-05,4.109270078401346e-05,4.28562935361932e-05,3.5225886734369874e-05
QUINAPRIL HYDROCHLORIDE,3.9575611237405355e-05,3.798545059407941e-05,3.558373981892639e-05,3.589935679995645e-05,4.711957218102102e-05,3.5248364072022826e-05,4.173363556181687e-05,3.534584970477816e-05,3.5567782357353835e-05,4.560935807342926e-05,3.862971035286063e-05,3.834638766683396e-05,3.5740233882122945e-05,3.527773393646244e-05,4.534011669133315e-05,3.7397547793142296e-05,3.517835976455177e-05
2-(3-IODOPHENYL)HISTAMINE,4.926524815813724e-05,5.46444714756131e-05,5.555427085201069e-05,5.312943279554145e-05,5.672591980550896e-05,4.6993194983772606e-05,5.01274650640005e-05,4.6556429315775393e-05,5.207022866880633e-05,5.695255012462836e-05,5.286069756179806e-05,5.1722998497415274e-05,4.6826645607197716e-05,6.754929882039803e-05,5.261209970799957e-05,4.9606098014588286e-05,5.4586551196311e-05
UNII-Y2H4S74Y8U,9.57913638585759e-05,0.00010599130273114036,0.00011809744930978957,0.005420206425749344,8.052480523791463e-05,0.006333144101996579,9.505440280097567e-05,0.00010022101521025608,0.00012161981534128464,0.00012558345387195962,0.005668736520251795,7.877104763771853e-05,0.007163359689765129,0.004740417336478587,0.00010110661671389339,0.00010520315727331613,0.00012995480425103054
CHEMBL478649,7.318320219154802e-05,6.408527011160503e-05,5.785288382994367e-05,7.652865572647074e-05,4.677993791118625e-05,6.586729256625243e-05,7.747366016831146e-05,7.885618851060316e-05,6.907236540363306e-05,5.287607295968614e-05,5.531257939967747e-05,7.618834635382267e-05,7.989822429726899e-05,6.605918247201467e-05,7.578471603349024e-05,7.263464473757615e-05,0.00015177547486439725
TIOTROPIUM,5.434119475333474e-05,5.851291062732486e-05,5.5925533364327806e-05,5.533736801820139e-05,6.210183616892706e-05,6.246661830267445e-05,5.509715178628857e-05,5.374457356605418e-05,5.845177445692838e-05,5.8124024903629914e-05,5.758457910219742e-05,5.491925660410451e-05,5.9769702690107826e-05,5.511429556020283e-05,6.441574591602111e-05,5.704756947983949e-05,5.577364274974392e-05
MEM-3454,4.923025287707208e-05,4.795749849216262e-05,4.444109562302832e-05,5.483087294269942e-05,4.89548867337276e-05,5.359927325530408e-05,5.264568161178618e-05,4.1007637323825125e-05,4.052230343832232e-05,4.645700440125941e-05,4.059432748385576e-05,5.798091960253556e-05,4.9957917642407925e-05,5.3388673332956236e-05,5.62443572315688e-05,4.243971706663549e-05,5.6167422660775024e-05
BATEFENTEROL,5.376708261170877e-05,5.83391177165088e-05,5.540039111128959e-05,5.4814098533632575e-05,6.154611587855156e-05,5.996309757495723e-05,5.512102206700736e-05,5.324541917685746e-05,5.665645036782898e-05,5.653223245057178e-05,5.705438859111675e-05,5.5240158139667004e-05,5.699656236917779e-05,5.404146495192942e-05,6.479972990365916e-05,5.680465266809672e-05,5.530132854166095e-05
DMXAA,5.436796145895524e-05,5.852512407555862e-05,5.2562093736030774e-05,5.662979754639765e-05,5.365515221896385e-05,7.819891204148885e-05,5.018916976967801e-05,7.824858739468103e-05,6.503042051512562e-05,4.941985427205733e-05,6.146451562869838e-05,5.0988007157523875e-05,6.664212541225014e-05,5.853807751311849e-05,5.2745037072582794e-05,5.075379037405644e-05,7.086981394079632e-05
ETONOGESTREL,4.449663950919309e-05,5.428090050902393e-05,3.734162538132331e-05,3.2951813158633666e-05,3.3214122657804694e-05,3.258087679175488e-05,4.050207368671472e-05,3.2642182977566594e-05,3.719504219508638e-05,3.4598582106911294e-05,3.252671298880587e-05,3.298710402564669e-05,5.566165510947594e-05,3.77357569257574e-05,3.4629763682923916e-05,3.609187630415492e-05,3.273225196614038e-05
THIETHYLPERAZINE MALATE,4.4722215435628094e-05,4.4797904462685165e-05,3.8019856622434367e-05,3.813466957912699e-05,3.851921543905929e-05,4.79551850113418e-05,4.332183346902493e-05,3.7148577614820575e-05,3.798165546563403e-05,4.1748301884272735e-05,3.7946709724573056e-05,4.570142040025528e-05,4.952227577303258e-05,4.969338833506551e-05,5.072721601735706e-05,4.0356539396351475e-05,3.799748532351496e-05
FTIDC,3.8981576617683016e-05,3.0450369622643292e-05,3.0279779272731812e-05,3.955528008778504e-05,3.0572430147377025e-05,3.0462234485309825e-05,4.459756730914052e-05,2.966914830309817e-05,3.624263831927456e-05,3.641684373866588e-05,3.0045207070532024e-05,5.094298436524544e-05,4.1596682706226315e-05,3.020861577291736e-05,3.7695019740619e-05,3.66713391686058e-05,3.0204900326264385e-05
1132610-45-7,2.848585975916247e-05,3.875066114506899e-05,0.00012588101563189538,7.237674264371477e-05,5.298629591916892e-05,4.640804167505542e-05,0.00010010816886861768,3.428635581112872e-05,5.1247767005414035e-05,3.269252858814234e-05,3.5490799146674935e-05,3.0778664184489446e-05,3.733420616666996e-05,2.9382297912687603e-05,5.708304815778337e-05,3.473129315028862e-05,4.576272674710266e-05
