Drug,COADREAD,LUSC,HNSC,STAD,KIRC,UCEC,BRCA,LIHC,CESC,LUAD,ESCA,PRAD,GBM,SKCM,BLCA,LGG,UCS
IMETIT,0.12034022195912097,0.5946045688047517,0.6007826432920222,0.19079403858026994,0.556516963056287,0.13900813869581163,0.628175600737491,0.3023423065086367,0.5828167735074484,0.1640300009313242,0.5727085411734752,0.0476866422354336,0.6153070014620258,0.258266636588517,0.1892502065661164,0.6287730001559697,0.5854952266484685
HADACIDIN,0.4609131152638884,0.5373584717120163,0.539782573765718,0.7651551287186975,0.6600318669960414,0.29899489114519484,0.2359246819329403,0.0490034292773621,0.1991742720468736,0.7003542347952715,0.7153560927390896,0.5252230797536798,0.7516337856521281,0.533108482248764,0.5355423718612845,0.5924295193840168,0.14650405756502421
CINALUKAST,0.12724557905801903,0.23954675402929848,0.02356404514588448,0.009819880425928778,0.753965868970324,0.49417018496355797,0.6501900236757499,0.8489936235526198,0.2795843095766608,0.7847323922341682,0.0547012496276257,0.4344600716480026,0.7759561102819998,0.7906865739922864,0.6937358234135351,0.5249653791346006,0.4513910111679113
ROLIPRAM,0.5340738921362592,0.5409197144114436,0.5661126230956086,0.5310609874332317,0.6773632359131798,0.5553252299725373,0.5620116525879917,0.5522049513227554,0.5548718038223174,0.5436031648377408,0.7772417667933849,0.764467801493617,0.5451296432184791,0.5417900913566912,0.5571044473045321,0.5457427980272678,0.5414719332877467
SPIRAPRIL HYDROCHLORIDE,0.5365405388129475,0.5912560930494213,0.46314754924815904,0.35724385615864085,0.690117246130691,0.6628826618512738,0.6355683006901768,0.33367118158679854,0.7003856382674366,0.5829172057472853,0.25344033586537906,0.673008407988314,0.7323166843727056,0.6983251916075216,0.573516082101866,0.684334180131581,0.7029832029163464
CAREBASTINE,0.7134709000164351,0.7311209528058861,0.7811790273369963,0.7595242584298353,0.7715535933448016,0.838542489267601,0.6784709947094774,0.6214171411581366,0.6479907925168626,0.6984609475812931,0.6028141214617517,0.8142200679048208,0.8323931971462308,0.27378490298186553,0.5516589641495601,0.7590035481285171,0.6655980711924039
WB-4101,0.5501019644569484,0.7985783027719989,0.8655816464078581,0.8850326832330841,0.7516350933115279,0.54325889806032,0.8335439451383122,0.940779495013325,0.8682208876028995,0.8441755474614889,0.8134834423713837,0.8317930556545563,0.6443547006051281,0.8169548009241361,0.5507341728105181,0.938842024645895,0.6844407651211689
CLOZAPINE,0.5380051569992881,0.5973951029006781,0.6224018241350532,0.6118450291453801,0.9490209324956714,0.6324208981813537,0.6048526769379331,0.6133030892214413,0.579694400301636,0.5824957940123909,0.5793133875061061,0.5410639498183376,0.5623204283710936,0.5798564396660959,0.636069084987635,0.5828914926767801,0.5856220350887643
17-ALLYL-AMINOGELDANAMYCIN,0.0,0.0,0.0,0.0,2.8004338744976042e-111,8.572234965017456e-39,0.0,0.0,0.0,1.390315340820081e-111,0.0,0.0,0.0,1.0019918393313865e-05,0.0,3.7223632717115386e-112,0.0
CHEMBL363743,0.820427762930698,0.8127932203852234,0.815182300539071,0.5492675522615432,0.7490012913348708,0.7786492889131775,0.840269149015312,0.5368566516762849,0.6257953423652576,0.605667936686234,0.8444632925551729,0.8527573435560296,0.8071566472895986,0.6763460306897402,0.8552629008472238,0.858144904617125,0.7745977831103548
TENAPANOR HYDROCHLORIDE,0.6443695547133648,0.8794116650497275,0.7154692351633435,0.7044159717934442,0.40944123917339836,0.8282310568111184,0.49795093509532906,0.6704302825238878,0.8317668113603259,0.3873894100728396,0.8067735502560309,0.5699562765387075,0.8010498407966979,0.7252448086473012,0.6242512685196858,0.7046587772492013,0.802310187748096
[3H]5-HT,0.7298554637261014,0.5486096955509684,0.542928444843302,0.6491888108744011,0.5690364769792682,0.7986776842809487,0.8313949910643743,0.8249871701760585,0.5513142353249088,0.6632903314895748,0.13487643572762453,0.7818819380143127,0.8804380480243552,0.8274108541363228,0.5699704772759169,0.3795399008463013,0.6718855167218707
DORZOLAMIDE HCL,0.6101785826401939,0.41525656442565323,0.5201274723748501,0.308329703244046,0.6565857153724727,0.5473157354017638,0.5270095417550746,0.3935718206313787,0.5475470858142653,0.6654577058272971,0.12699037953109066,0.5295324556866278,0.635159026590106,0.37562405506945834,0.7095672633682394,0.3790615336919483,0.6517093681335269
CHEMBL249334,0.5590031368597584,0.4033616957175832,0.3545516253324008,0.5334452593295721,0.7468736426697768,0.2860722154087775,0.4950818586839659,0.5047479766068472,0.5472073378611324,0.43193809684165274,0.5301198447853505,0.5284202808738293,0.7699229509364429,0.5412582574136242,0.18554019916885633,0.6739828397807036,0.737014332041964
GW 6471,0.30019212699942865,0.7307911585699738,0.7534449712476003,0.6371578654559864,0.7538535140406362,0.3636172726275533,0.47607106524948267,0.5479536186947733,0.4725445001744323,0.7749269792526075,0.7789152578919147,0.7379930449442107,0.5669642345130415,0.5341058059690951,0.5824495481410431,0.10536293791239038,0.740576345417183
DORAMAPIMOD,0.13667684847088463,0.5432576729023633,0.543258663702641,0.5182804616445196,0.5181831733374186,0.5193639939351952,0.5778474636096382,0.5693027048976513,0.5207193333353489,0.5516127051215736,0.5372713053895886,0.35148135789981927,0.31180076127559464,0.5455538846149981,0.5443111694580334,0.539644492774825,0.5111150082161334
BB-3497,0.508329214190989,0.6814247582032494,0.6636944077478701,0.6629392767063649,0.6382693117140703,0.537192781930419,0.5303386978110451,0.5521544643907383,0.6460944155434718,0.6498896904062569,0.6456035425305843,0.6695595268063232,0.647617991211841,0.7010735126994506,0.46049117159748637,0.6774028812949836,0.6230893102171379
TRIDIHEXETHYL,0.16874298260465453,0.5468351416328947,0.5443769412025993,0.5071682577733225,0.3791799447076559,0.4950994115572085,0.5171027906843658,0.08394510770093538,0.2245716140858522,0.13496794879003032,0.027066181661883168,0.12327945868710649,0.5029891189207139,0.281377781354981,0.5220090053890462,0.14833989036005696,0.2643872129203685
TRIAMTERENE,0.8216144602533483,0.5362663462880726,0.5421256567470516,0.9349025488449397,0.8596274640267795,0.5496932669178446,0.5604326239993714,0.543341480868763,0.5367154997416693,0.5392520472376748,0.8576880023372282,0.8696612575849065,0.5414215965393886,0.5351749821255457,0.5486803437806181,0.5314574453248849,0.5414542296967426
ITRIGLUMIDE,0.15398861772745948,0.8207972274248099,0.839130767303153,0.3502905760833359,0.7558074623692609,0.5450417889030122,0.5358930424121698,0.5604110168656713,0.7693631908249773,0.77945298813316,0.7875123732465883,0.7712715418002813,0.8035061162950555,0.8485597102597371,0.8198628053665831,0.838936400168397,0.7761884845152432
NS-018,0.5673028934263677,0.5448209584693541,0.5526293474605845,0.5654862420271343,0.5693210741353548,0.5805085873111827,0.5420383476536585,0.5480750372128548,0.5487849872146378,0.5521858369893666,0.5418862231015045,0.5525633672582558,0.5395031037531048,0.55200476351535,0.5736385408563613,0.5614637505724136,0.5395456193743733
XANOMELINE,0.5093369901357647,0.5765160504335578,0.5760410527463966,0.54529812687972,0.6555496212648853,0.5613318325944564,0.5602580737104573,0.5669470584115768,0.5456987757254347,0.5492568523597691,0.5205929555137624,0.5288503737520631,0.5638135815950291,0.5315614652088041,0.5934539636107088,0.5210740228392017,0.5387636096736007
